Number	Cell	Slice	Date	Sample	Mouse	Mouse date of birth	Mouse age	Mouse gender	Mouse genotype	Targeted layer	Inferred layer	Cre	Exon reads	Intron reads	Intergenic reads	Sequencing batch	Number of genes detected	RNA family	RNA type	RNA type confidence	RNA type top-3	ALM/VISp top-3	Length (bp)	Yield (pg/µl)	User	Hold Time (min)	Soma depth (µm)	Soma depth (4x)	Cortical thickness (4x)	Cortical thickness (µm)	Traced	Exclusion reasons
11	20171219_sample_3	20171219_slice_3	2017-12-19	sample 3	mouse_KKXUD	2017-10-19	61	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	427369	453683	79849	1	12376	IT	L4/5 IT_2	0.99	L4/5 IT_2 (99.4%)	L5 IT ALM Lypd1 Gpr88 (68.0%), L5 IT VISp Hsd11b1 Endou (19.0%), L4 IT VISp Rspo1 (13.0%)	2247	397.84	Fede	10	717.4	270.8	560.8	1547.808	y	
12	20171219_sample_4	20171219_slice_4	2017-12-19	sample 4	mouse_KKXUD	2017-10-19	61	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	980179	592515	101977	2	12747	ET	L5 ET_1	0.96	L5 ET_1 (95.6%)	L5 PT VISp Krt80 (97.0%)	2222	515.48	Fede	8	911.6	332.7	599.8	1655.448		
13	20171219_sample_6	20171219_slice_6	2017-12-19	sample 6	mouse_KKXUD	2017-10-19	61	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	2471422	3168436	549646	1	18199	ET	L5 ET_2	0.82	L5 ET_2 (81.6%), L5 ET_4 (12.1%), L5 ET_3 (5.1%)	L5 PT VISp Lgr5 (100.0%)	1877	430.57	Fede	10	642.3	234.3	589.4	1626.744	y	
14	20171219_sample_7	20171219_slice_7	2017-12-19	sample 7	mouse_KKXUD	2017-10-19	61	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1060473	251288	95858	1	14483	IT	L5 IT_1	0.61	L5 IT_1 (61.3%), L4/5 IT_2 (37.3%)	L5 IT ALM Lypd1 Gpr88 (44.0%), L5 IT ALM Cbln4 Fezf2 (29.0%), L5 IT ALM Tmem163 Dmrtb1 (11.0%)	1826	713.3	Fede	12	645.1	235	591.2	1631.712	y	
15	20171219_sample_8	20171219_slice_8	2017-12-19	sample 8	mouse_KKXUD	2017-10-19	61	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	6440446	745288	278593	1	18360	ET	L5 ET_1	0.88	L5 ET_1 (88.3%), L5 ET_2 (6.3%), L5 ET_4 (4.7%)	L5 PT VISp Krt80 (85.0%), L5 PT ALM Hpgd (8.0%), L5 PT ALM Slco2a1 (7.0%)	2159	1307.7	Fede	11	654.3	239.5	513	1415.88	y	
16	20180102_sample_1	20180102_slice_1	2018-01-02	sample 1	mouse_HXCVU	2017-10-19	75	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1242323	1373770	310531	1	17573	ET	L5 ET_1	1.00	L5 ET_1 (100.0%)	L5 PT ALM Slco2a1 (99.0%)	2417	543.91	Fede	13	690	251.2	523.8	1445.688	y	
17	20180102_sample_2	20180102_slice_2	2018-01-02	sample 2	mouse_HXCVU	2017-10-19	75	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1500863	2292323	484154	1	20942	IT	L5 IT_1	0.61	L5 IT_1 (60.9%), L5 IT_2 (23.9%), L5 IT_3 (8.9%)	L5 IT ALM Gkn1 Pcdh19 (57.0%), L5 IT ALM Cpa6 Gpr88 (21.0%), L5 IT VISp Col27a1 (18.0%)	1808	778.66	Fede	12	717.8	266.7	585.6	1616.256		
18	20180102_sample_3	20180102_slice_3	2018-01-02	sample 3	mouse_HXCVU	2017-10-19	75	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	451976	633174	107891	1	15478	ET	L5 ET_1	1.00	L5 ET_1 (99.7%)	L5 PT ALM Slco2a1 (94.0%), L5 PT VISp Krt80 (6.0%)	2456	582.7	Fede	11	801.6	305.5	533.9	1473.564	y	
19	20180102_sample_4	20180102_slice_4	2018-01-02	sample 4	mouse_HXCVU	2017-10-19	75	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	8136289	9307202	2326755	1	21702	ET	L5 ET_1	0.92	L5 ET_1 (91.7%), L5 ET_4 (4.0%)	L5 PT VISp Krt80 (53.0%), L5 PT ALM Slco2a1 (47.0%)	2003	717.83	Fede	11	716	307.9	536.7	1481.292	y	
20	20180102_sample_5	20180102_slice_5	2018-01-02	sample 5	mouse_HXCVU	2017-10-19	75	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	5405143	4146131	1093120	1	20304	IT	L4/5 IT_2	0.86	L4/5 IT_2 (86.0%), L5 IT_1 (5.9%), L5 ET_2 (3.1%)	L5 IT ALM Lypd1 Gpr88 (82.0%), L5 IT VISp Hsd11b1 Endou (9.0%), L5 IT ALM Tmem163 Arhgap25 (4.0%)	2053	524.61	Fede	12	589.5	218.8	557.6	1538.976	y	
21	20180103_sample_1	20180103_slice_1	2018-01-03	sample 1	mouse_BXLFB	2017-10-27	68	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	441628	616429	103467	2	13790	ET	L5 ET_1	0.91	L5 ET_1 (91.3%), L5 ET_4 (5.1%)	L5 PT VISp Krt80 (93.0%), Oligo Synpr (4.0%)	2169	739.17	Fede	11	860.7	307.2	566.3	1562.988		
22	20180103_sample_2	20180103_slice_2	2018-01-03	sample 2	mouse_BXLFB	2017-10-27	68	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	7817990	13265394	2283480	1	22341	ET	L5 ET_1	0.95	L5 ET_1 (95.0%)	L5 PT ALM Slco2a1 (99.0%)	2148	736.07	Fede	10	1001.9	363.3	578.9	1597.764	y	
23	20180103_sample_3	20180103_slice_3	2018-01-03	sample 3	mouse_BXLFB	2017-10-27	68	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1377121	78374	53639	2	10559	ET	L5 ET_1	0.98	L5 ET_1 (98.0%)	L5 PT ALM Slco2a1 (100.0%)	2083	368.84	Fede	10	1060.8	389.4	669.1	1846.716		
24	20180103_sample_4	20180103_slice_4	2018-01-03	sample 4	mouse_BXLFB	2017-10-27	68	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1192979	85242	84992	2	5990	low quality					1548	116.17	Fede	6	1105.8	391.5	581.7	1605.492		
25	20180103_sample_5	20180103_slice_5	2018-01-03	sample 5	mouse_BXLFB	2017-10-27	68	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	688127	1781619	235324	2	14498	IT	L5 IT_1	0.97	L5 IT_1 (97.1%)	L5 IT ALM Cpa6 Gpr88 (81.0%), L5 IT ALM Gkn1 Pcdh19 (13.0%), L5 IT ALM Lypd1 Gpr88 (4.0%)	1751	734.5	Fede	8	858.3	291.3	550.6	1519.656		
26	20180103_sample_6	20180103_slice_6	2018-01-03	sample 6	mouse_BXLFB	2017-10-27	68	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1689601	2614811	422908	2	14013	IT	L5 IT_1	0.99	L5 IT_1 (99.1%)	L5 IT ALM Cpa6 Gpr88 (45.0%), L5 IT ALM Lypd1 Gpr88 (30.0%), L5 IT ALM Gkn1 Pcdh19 (13.0%)	2186	451.87	Fede	10	1061.2	393.1	659.8	1821.048		
27	20180103_sample_7	20180103_slice_7	2018-01-03	sample 7	mouse_BXLFB	2017-10-27	68	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1118512	1255511	193438	1	13201	IT	L5 IT_1	0.93	L5 IT_1 (92.9%), L4/5 IT_2 (3.6%)	L5 IT ALM Cpa6 Gpr88 (41.0%), L5 IT ALM Cbln4 Fezf2 (27.0%), L5 IT ALM Lypd1 Gpr88 (13.0%)	1639	538.97	Fede	12	571.6	213.8	552.8	1525.728	y	
28	20180103_sample_8	20180103_slice_8	2018-01-03	sample 8	mouse_BXLFB	2017-10-27	68	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1959765	1536151	257920	2	12909	IT	L5 IT_3	0.54	L5 IT_3 (54.3%), L5 IT_1 (22.6%), L5 IT_2 (12.4%)	L5 IT VISp Col27a1 (67.0%), L5 IT ALM Cpa6 Gpr88 (19.0%), L5 IT ALM Gkn1 Pcdh19 (10.0%)	1980	393.33	Fede	10	605.9	219.5	505.5	1395.18		
29	20180104_sample_1	20180104_slice_1	2018-01-04	sample 1	mouse_UALZV	2017-10-27	69	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	112690	13545	14594	2	3182	low quality					1544	56.29	Fede	7	625	245.7	512	1413.12		
30	20180104_sample_2	20180104_slice_2	2018-01-04	sample 2	mouse_UALZV	2017-10-27	69	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	326578	569047	68680	2	10261	IT	L5 IT_3	0.48	L5 IT_3 (48.0%), L5 IT_1 (46.3%), L5 IT_2 (4.9%)	L5 IT VISp Col27a1 (55.0%), L5 IT ALM Cpa6 Gpr88 (18.0%), L4 IT VISp Rspo1 (12.0%)	2295	331.83	Fede	10	642.6	249.8	599.1	1653.516		
31	20180104_sample_3	20180104_slice_3	2018-01-04	sample 3	mouse_UALZV	2017-10-27	69	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	8552519	2122716	558279	1	20383	IT	L4/5 IT_2	0.86	L4/5 IT_2 (85.6%), L5 IT_1 (13.9%)	L5 IT ALM Tmem163 Dmrtb1 (100.0%)	2360	1248.8	Fede	6	485.1	175.7	488	1346.88		
32	20180104_sample_4	20180104_slice_4	2018-01-04	sample 4	mouse_UALZV	2017-10-27	69	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	65302	4948	6337	2	1772	low quality					1559	27.08	Fede	7	528.4	191.4	494.8	1365.648		
33	20180104_sample_6	20180104_slice_6	2018-01-04	sample 6	mouse_UALZV	2017-10-27	69	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	174024	137524	25972	3	11684	ET	L5 ET_4	0.48	L5 ET_4 (47.9%), L5 ET_2 (32.0%), L5 ET_3 (18.3%)	L5 PT VISp Lgr5 (60.0%), L5 PT ALM Npsr1 (24.0%), L5 PT VISp C1ql2 Ptgfr (16.0%)	2195	728.36	Fede	10	647.2	234.4	473.7	1307.412	y	
34	20180105_sample_4	20180105_slice_4	2018-01-05	sample 4	mouse_LYQJP	2017-10-27	70	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	5257425	4258865	1027630	1	17438	IT	L5 IT_1	0.62	L5 IT_1 (61.7%), L5 IT_3 (18.4%), L5 IT_2 (16.6%)	L5 IT ALM Cpa6 Gpr88 (36.0%), L5 IT ALM Cbln4 Fezf2 (23.0%), L5 IT VISp Col27a1 (21.0%)	1579	259.84	Fede	10	741.8	271.1	519.5	1433.82	y	
35	20180105_sample_5	20180105_slice_5	2018-01-05	sample 5	mouse_LYQJP	2017-10-27	70	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	3736746	2728967	660163	1	16139	IT	L5 IT_1	0.91	L5 IT_1 (91.0%), L4/5 IT_2 (3.0%), L5 ET_1 (2.7%)	L4 IT VISp Rspo1 (33.0%), L5 IT ALM Cpa6 Gpr88 (22.0%), L5 IT VISp Batf3 (17.0%)	1513	141.77	Fede	10	528.4	199.5	515.8	1423.608	y	
36	20180105_sample_6	20180105_slice_6	2018-01-05	sample 6	mouse_LYQJP	2017-10-27	70	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1902533	1807065	451233	1	14647	IT	L5 IT_1	0.45	L5 IT_1 (45.0%), L5 IT_2 (39.7%), L5 IT_3 (8.4%)	L5 IT ALM Gkn1 Pcdh19 (40.0%), L5 IT VISp Col27a1 (34.0%), L6 IT ALM Tgfb1 (13.0%)	1622	168.05	Fede	10	638.3	234.5	462.3	1275.948	y	
37	20180108_sample_1	20180108_slice_1	2018-01-08	sample 1	mouse_OOSLW	2017-11-05	64	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1457748	1784110	258283	2	13414	IT	L5 IT_1	1.00	L5 IT_1 (99.6%)	L5 IT ALM Cpa6 Gpr88 (57.0%), L5 IT ALM Tmem163 Arhgap25 (38.0%)	2474	418.17	Fede	10	635.6	228.2	566.6	1563.816		
38	20180108_sample_2	20180108_slice_2	2018-01-08	sample 2	mouse_OOSLW	2017-11-05	64	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	510888	308130	52741	2	3980	low quality					1503	74.09	Fede	10	802.9	285.5	587.5	1621.5		
39	20180108_sample_3	20180108_slice_3	2018-01-08	sample 3	mouse_OOSLW	2017-11-05	64	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	469764	44224	42607	2	13133	IT	L5 IT_1	0.82	L5 IT_1 (81.7%), L5 IT_2 (8.7%), L5 ET_1 (6.3%)	L5 IT ALM Tmem163 Arhgap25 (31.0%), L5 IT ALM Gkn1 Pcdh19 (26.0%), L5 IT ALM Cpa6 Gpr88 (24.0%)	2378	416.79	Fede	10	724.7	248.8	560.5	1546.98		
40	20180108_sample_4	20180108_slice_4	2018-01-08	sample 4	mouse_OOSLW	2017-11-05	64	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1069590	1035606	161359	2	5639	ET	L5 ET_4	0.49	L5 ET_4 (48.9%), L6 CT Pou3f2 (11.1%), L5 ET_2 (9.1%)	L5 PT VISp Lgr5 (55.0%), L5 PT VISp C1ql2 Ptgfr (25.0%), L5 PT ALM Npsr1 (16.0%)	1527	137.09	Fede	10	738.1	269.9	528.1	1457.556	y	
41	20180108_sample_5	20180108_slice_5	2018-01-08	sample 5	mouse_OOSLW	2017-11-05	64	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	147672	13964	23361	1	16535	ET	L5 ET_2	0.58	L5 ET_2 (57.7%), L5 ET_3 (24.4%), L5 ET_4 (17.7%)	L5 PT ALM Hpgd (39.0%), L5 PT ALM Npsr1 (31.0%), L5 PT VISp Lgr5 (30.0%)	2412	412.34	Fede	10	632.5	214.5	496.3	1369.788	y	
42	20180108_sample_7	20180108_slice_7	2018-01-08	sample 7	mouse_OOSLW	2017-11-05	64	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1471939	1268100	306428	1	12693	IT	L5 IT_1	0.97	L5 IT_1 (96.9%)	L5 IT VISp Hsd11b1 Endou (44.0%), L5 IT ALM Cpa6 Gpr88 (27.0%), L5 IT VISp Whrn Tox2 (14.0%)	2503	414.54	Fede	10	987.7	359	596	1644.96		
43	20180108_sample_8	20180108_slice_8	2018-01-08	sample 8	mouse_OOSLW	2017-11-05	64	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	812213	949428	126805	2	11579	ET	L5 ET_1	0.94	L5 ET_1 (93.9%), L5 ET_2 (5.6%)	L5 PT ALM Slco2a1 (95.0%)	2560	405.42	Fede	10	923.4	337	580.1	1601.076		
44	20180108_sample_9	20180108_slice_9	2018-01-08	sample 9	mouse_OOSLW	2017-11-05	64	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	439766	518015	99561	3	15279	IT	L5 IT_1	0.92	L5 IT_1 (92.1%), L5 IT_2 (4.4%)	L5 IT ALM Cpa6 Gpr88 (72.0%), L5 IT ALM Gkn1 Pcdh19 (27.0%)	2151	307.11	Fede	10	798.2	293.3	537.4	1483.224	y	
45	20180108_sample_10	20180108_slice_10	2018-01-08	sample 10	mouse_OOSLW	2017-11-05	64	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1505286	1726024	385868	1	11858	ET	L5 ET_1	0.96	L5 ET_1 (95.7%)	L5 PT VISp Krt80 (97.0%)	2240	344.79	Fede	10	703.3	260.8	556.8	1536.768		
46	20180109_sample_1	20180109_slice_1	2018-01-09	sample 1	mouse_TYCES	2017-11-05	65	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	346497	523419	72836	2	6404	IT	L5 IT_1	0.73	L5 IT_1 (72.7%), L5 IT_3 (13.9%), L6 IT_1 (6.3%)	L5 IT ALM Cpa6 Gpr88 (36.0%), L5 IT VISp Col27a1 (25.0%), L5 IT ALM Cbln4 Fezf2 (14.0%)	1770	159.33	Fede	11	816.4	295.7	566.8	1564.368		
47	20180109_sample_2	20180109_slice_2	2018-01-09	sample 2	mouse_TYCES	2017-11-05	65	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	151090	263133	31657	2	9340	IT	L5 IT_3	0.55	L5 IT_3 (55.0%), L5 IT_1 (37.1%), L5 IT_2 (7.1%)	L5 IT VISp Col27a1 (55.0%), L4 IT VISp Rspo1 (24.0%), L5 IT ALM Cpa6 Gpr88 (9.0%)	1984	593.53	Fede	10	817.4	298.6	621.1	1714.236		
48	20180109_sample_5	20180109_slice_5	2018-01-09	sample 5	mouse_TYCES	2017-11-05	65	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1240954	280662	88761	1	11447	IT	L5 IT_1	0.72	L5 IT_1 (72.3%), L5 IT_2 (23.1%)	L5 IT ALM Cpa6 Gpr88 (76.0%), L5 IT VISp Col27a1 (11.0%), L5 IT ALM Gkn1 Pcdh19 (8.0%)	1959	202.29	Fede	10	873.5	316.2	538.5	1486.26		
49	20180110_sample_1	20180110_slice_1	2018-01-10	sample 1	mouse_GUIGR	2017-11-05	66	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	965944	1042843	156185	2	11722	IT	L5 IT_1	0.85	L5 IT_1 (84.6%), L5 IT_3 (9.6%), L6 IT_1 (3.4%)	L5 IT VISp Col27a1 (42.0%), L5 IT ALM Cbln4 Fezf2 (32.0%), L5 IT ALM Cpa6 Gpr88 (14.0%)	2129	257.48	Fede	13	947.5	357	605	1669.8		
50	20180110_sample_2	20180110_slice_2	2018-01-10	sample 2	mouse_GUIGR	2017-11-05	66	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	466145	579941	137643	3	12188	IT	L5 IT_2	0.55	L5 IT_2 (54.6%), L5 IT_1 (31.7%), L5 IT_3 (6.7%)	L5 IT ALM Gkn1 Pcdh19 (52.0%), L5 IT ALM Cpa6 Gpr88 (43.0%)	1764	504.54	Fede	14	902.7	333	590.1	1628.676		
51	20180110_sample_3	20180110_slice_3	2018-01-10	sample 3	mouse_GUIGR	2017-11-05	66	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	2251846	580294	118602	2	14118	IT	L5 IT_1	1.00	L5 IT_1 (99.6%)	L5 IT ALM Cpa6 Gpr88 (99.0%)	2091	961.24	Fede	10	854	311.1	646.6	1784.616		
52	20180110_sample_4	20180110_slice_4	2018-01-10	sample 4	mouse_GUIGR	2017-11-05	66	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1285922	716623	125098	2	10352	IT	L5 IT_1	0.61	L5 IT_1 (61.3%), L5 IT_2 (26.0%), L6 CT Cpa6 (3.0%)	L5 IT ALM Cpa6 Gpr88 (46.0%), L5 IT VISp Col27a1 (28.0%), L5 IT VISp Col6a1 Fezf2 (17.0%)	1966	157.83	Fede	11	816.8	299	598	1650.48		
53	20180110_sample_5	20180110_slice_5	2018-01-10	sample 5 	mouse_GUIGR	2017-11-05	66	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	811180	747232	156013	1	13169	IT	L5 IT_2	0.46	L5 IT_2 (45.9%), L5 IT_1 (32.9%), L5 IT_3 (8.7%)	L5 IT VISp Col6a1 Fezf2 (59.0%), L5 IT VISp Col27a1 (20.0%), L6 IT ALM Tgfb1 (15.0%)	1810	236.68	Fede	13	767.7	279.4	538.5	1486.26	y	
54	20180110_sample_7	20180110_slice_7	2018-01-10	sample 7	mouse_GUIGR	2017-11-05	66	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	908704	660373	91949	2	11194	IT	L5 IT_1	0.69	L5 IT_1 (68.6%), L5 IT_2 (27.1%)	L5 IT ALM Gkn1 Pcdh19 (90.0%), L5 IT ALM Cpa6 Gpr88 (5.0%)	2113	283.75	Fede	10	969	355.5	578.4	1596.384		
55	20180110_sample_8	20180110_slice_8	2018-01-10	sample 8	mouse_GUIGR	2017-11-05	66	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	655899	521591	125756	1	13827	ET	L5 ET_4	0.93	L5 ET_4 (93.1%), L5 ET_1 (3.7%)	L5 PT ALM Npsr1 (97.0%)	2022	325.01	Fede	11	664.6	246.4	507.8	1401.528	y	
56	20180111_sample_5	20180111_slice_5	2018-01-11	sample 5	mouse_DYNRZ	2017-11-05	67	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	116828	46084	12077	1	6167	IT	L5 IT_3	0.61	L5 IT_3 (61.1%), L5 IT_4 (13.0%), L5 IT_1 (11.1%)	L5 IT VISp Col27a1 (57.0%), L4 IT VISp Rspo1 (33.0%), L6 IT VISp Penk Fst (5.0%)	2328	102.42	Fede	13	795.5	294	539	1487.64	y	
57	20180115_sample_2	20180115_slice_2	2018-01-15	sample 2	mouse_IZUBT	2017-11-12	64	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	3583318	3704729	780026	1	19276	IT	L5 IT_1	0.49	L5 IT_1 (49.4%), L4/5 IT_2 (43.0%), L6 CT Grp (3.7%)	L5 IT VISp Hsd11b1 Endou (84.0%), L5 IT ALM Tmem163 Arhgap25 (7.0%), L5 IT ALM Lypd1 Gpr88 (5.0%)	1976	616.31	Fede	18	665.2	242.2	525	1449	y	
58	20180115_sample_5	20180115_slice_5	2018-01-15	sample 5	mouse_IZUBT	2017-11-12	64	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	3756865	4067791	833207	1	18139	IT	L5 IT_1	0.96	L5 IT_1 (96.4%)	L5 IT ALM Cpa6 Gpr88 (72.0%), L5 IT ALM Lypd1 Gpr88 (17.0%), L5 IT VISp Hsd11b1 Endou (8.0%)	2254	371.36	Fede	10	825.7	298	508.1	1402.356	y	
59	20180115_sample_6	20180115_slice_6	2018-01-15	sample 6	mouse_IZUBT	2017-11-12	64	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	710	1040	174	1	1110	low quality					2252	218.86	Fede	15	615.6	221.9	511.6	1412.016	y	
60	20180115_sample_7	20180115_slice_7	2018-01-15	sample 7	mouse_IZUBT	2017-11-12	64	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	5022778	1772024	413672	1	18151	IT	L5 IT_1	0.74	L5 IT_1 (73.9%), L5 IT_2 (21.1%)	L5 IT ALM Gkn1 Pcdh19 (74.0%), L5 IT ALM Cpa6 Gpr88 (26.0%)	2048	974.53	Fede	10	677.9	254.4	506.5	1397.94	y	
