GeneID,exon_bp,intron_bp,gene_bp
1500009L16Rik,3465,36433,39898
1500011B03Rik,2693,12580,15273
1500012K07Rik,2630,20094,22724
1500015A07Rik,2296,7232,9528
1500015L24Rik,2743,117285,120028
1500026H17Rik,3027,11469,14496
1500032F14Rik,460,3161,3621
1500035N22Rik,865,11462,12327
1520401A03Rik,4111,14185,18296
1600002D24Rik,2822,169715,172537
1600002K03Rik,678,1525,2203
1600010M07Rik,1729,151098,152827
1600012H06Rik,3294,13093,16387
1600014C10Rik,3949,10403,14352
1600014C23Rik,518,463,981
1600017P15Rik,1302,0,1302
1600019K03Rik,477,5773,6250
1600020E01Rik,4328,51892,56220
1600022D10Rik,1562,35888,37450
1600023N17Rik,1007,0,1007
1600027J07Rik,489,3168,3657
1600029O15Rik,1809,4103,5912
1700001C02Rik,1038,17004,18042
1700001C19Rik,1896,22747,24643
1700001D01Rik,565,6786,7351
1700001F09Rik,884,4545,5429
1700001G01Rik,2249,116260,118509
1700001G11Rik,1080,716,1796
1700001G17Rik,889,0,889
1700001J03Rik,868,1996,2864
1700001J04Rik,929,410,1339
1700001J11Rik,2664,0,2664
1700001K19Rik,955,13977,14932
1700001K23Rik,1535,15135,16670
1700001L05Rik,6112,7324,13436
1700001L19Rik,1826,14985,16811
1700001O22Rik,2788,6105,8893
1700001P01Rik,624,3814,4438
1700003C15Rik,1871,78185,80056
1700003D09Rik,1389,6177,7566
1700003E16Rik,2221,4321,6542
1700003E24Rik,577,143,720
1700003F12Rik,976,1943,2919
1700003G18Rik,1799,9602,11401
1700003H04Rik,1591,23159,24750
1700003I16Rik,1058,15033,16091
1700003I22Rik,482,744,1226
1700003L19Rik,1269,46806,48075
1700003M07Rik,873,2411,3284
1700003N22Rik,808,0,808
1700003O11Rik,582,885,1467
1700006A11Rik,2161,22891,25052
1700006H21Rik,627,4150,4777
1700006J14Rik,2885,17295,20180
1700006P03Rik,409,0,409
1700007E05Rik,2628,0,2628
1700007F19Rik,1642,20459,22101
1700007H22Rik,537,10836,11373
1700007J10Rik,1298,12940,14238
1700007K13Rik,965,3367,4332
1700007L15Rik,738,136,874
1700007P06Rik,823,1892,2715
1700008A23Rik,691,0,691
1700008B11Rik,634,0,634
1700008C04Rik,797,56589,57386
1700008H02Rik,1684,0,1684
1700008J07Rik,2432,0,2432
1700008K24Rik,950,323,1273
1700008N11Rik,636,133,769
1700008O03Rik,3675,22103,25778
1700009C05Rik,788,9549,10337
1700009J07Rik,1368,1330,2698
1700009N14Rik,1258,224,1482
1700010B08Rik,899,1776,2675
1700010B13Rik,2102,4394,6496
1700010D01Rik,507,173,680
1700010G06Rik,683,897,1580
1700010H22Rik,1355,12021,13376
1700010I02Rik,577,29010,29587
1700010I14Rik,2292,21325,23617
1700010J16Rik,928,57787,58715
1700010K23Rik,376,7133,7509
1700010K24Rik,226,7851,8077
1700010L04Rik,1577,6674,8251
1700010N08Rik,1414,67458,68872
1700011B04Rik,4166,15925,20091
1700011D18Rik,277,0,277
1700011L03Rik,608,1397,2005
1700011L22Rik,1026,37114,38140
1700011M02Rik,420,327,747
1700012A03Rik,1008,7668,8676
1700012B07Rik,2177,38219,40396
1700012B09Rik,819,13625,14444
1700012C14Rik,622,2564,3186
1700012D14Rik,4153,35468,39621
1700012E03Rik,1377,1274,2651
1700012I11Rik,1039,149287,150326
1700012J15Rik,471,10817,11288
1700012P22Rik,974,19610,20584
1700013A02Rik,645,0,645
1700013D24Rik,513,8959,9472
1700013F07Rik,1452,9122,10574
1700013G24Rik,1048,1130,2178
1700013H16Rik,1224,13707,14931
1700014D04Rik,3281,2630,5911
1700015C15Rik,374,4249,4623
1700015F17Rik,1118,40199,41317
1700015G11Rik,397,3649,4046
1700015H07Rik,560,1056,1616
1700015I17Rik,2099,10191,12290
1700015O11Rik,678,818,1496
1700016A09Rik,835,0,835
1700016B01Rik,270,8738,9008
1700016B15Rik,733,0,733
1700016C15Rik,768,22743,23511
1700016D06Rik,1612,44528,46140
1700016F12Rik,655,2779,3434
1700016G22Rik,740,1845,2585
1700016H03Rik,437,0,437
1700016H13Rik,1751,6221,7972
1700016J18Rik,249,346,595
1700016K05Rik,386,5646,6032
1700016K19Rik,921,2737,3658
1700016L21Rik,968,32968,33936
1700016P03Rik,863,4211,5074
1700017B05Rik,5235,4261,9496
1700017D01Rik,3661,30400,34061
1700017G19Rik,2904,15142,18046
1700017I07Rik,462,2724,3186
1700017J07Rik,473,166,639
1700017M07Rik,940,18730,19670
1700017N19Rik,2353,25565,27918
1700018A04Rik,4216,56085,60301
1700018A14Rik,711,0,711
1700018A23Rik,398,2403,2801
1700018B08Rik,1294,12247,13541
1700018F24Rik,1122,1570,2692
1700018G05Rik,386,337,723
1700018L02Rik,2485,0,2485
1700018M17Rik,456,16,472
1700018P08Rik,1239,1251,2490
1700019A02Rik,777,28283,29060
1700019A23Rik,196,0,196
1700019D03Rik,4330,93526,97856
1700019E08Rik,830,1013,1843
1700019F05Rik,533,6993,7526
1700019G24Rik,503,12982,13485
1700019J19Rik,5324,23358,28682
1700019L13Rik,4947,0,4947
1700019M22Rik,354,0,354
1700019N19Rik,1257,7402,8659
1700019P21Rik,411,269,680
1700020G03Rik,889,0,889
1700020G17Rik,1476,110490,111966
1700020L24Rik,1050,2507,3557
1700020M21Rik,644,835,1479
1700020N01Rik,1136,28096,29232
1700020N15Rik,525,154,679
1700020N18Rik,547,604,1151
1700021A07Rik,721,6487,7208
1700021F05Rik,4141,11721,15862
1700021F07Rik,646,5270,5916
1700021J08Rik,575,272,847
1700021L23Rik,726,7899,8625
1700021N21Rik,904,502,1406
1700022A21Rik,1448,1960,3408
1700022A22Rik,1507,47842,49349
1700022E09Rik,666,5664,6330
1700022H01Rik,387,5080,5467
1700022H16Rik,476,4874,5350
1700022I11Rik,4542,9495,14037
1700022N22Rik,1632,3591,5223
1700023B13Rik,1046,0,1046
1700023C21Rik,389,2210,2599
1700023F02Rik,767,132852,133619
1700023F06Rik,1452,8163,9615
1700023G09Rik,1460,1720,3180
1700023H06Rik,1044,257,1301
1700024B05Rik,1576,58251,59827
1700024B18Rik,423,27627,28050
1700024G13Rik,850,11474,12324
1700024J04Rik,1821,1,1822
1700024P04Rik,481,0,481
1700025A08Rik,609,0,609
1700025C18Rik,702,11356,12058
1700025D23Rik,846,3085,3931
1700025F22Rik,805,24852,25657
1700025F24Rik,894,12527,13421
1700025G04Rik,11788,225935,237723
1700025H01Rik,547,4682,5229
1700025J12Rik,630,1059,1689
1700025K04Rik,1174,1914,3088
1700025K24Rik,740,16752,17492
1700025L06Rik,2169,1434,3603
1700025M24Rik,772,14835,15607
1700025N21Rik,686,2203,2889
1700025N23Rik,915,2806,3721
1700026D11Rik,2929,30495,33424
1700026F02Rik,1679,135834,137513
1700026J12Rik,1155,43977,45132
1700026J14Rik,794,99,893
1700026N04Rik,643,2458,3101
1700027A07Rik,458,1237,1695
1700027A15Rik,1396,39268,40664
1700027F06Rik,243,976,1219
1700027F09Rik,767,12364,13131
1700027H10Rik,584,22143,22727
1700027J07Rik,2782,17246,20028
1700028B04Rik,971,4193,5164
1700028D13Rik,718,2524,3242
1700028E10Rik,6927,56517,63444
1700028I16Rik,1056,11064,12120
1700028J19Rik,2471,14414,16885
1700028P14Rik,875,93185,94060
1700028P15Rik,3553,2393,5946
1700029B22Rik,699,3443,4142
1700029B24Rik,497,0,497
1700029E06Rik,757,1497,2254
1700029F12Rik,1140,11359,12499
1700029H14Rik,1421,10308,11729
1700029I15Rik,1348,1823,3171
1700029J03Rik,1527,65669,67196
1700029J07Rik,2740,18907,21647
1700029M03Rik,685,1220,1905
1700029M20Rik,3024,520,3544
1700029N11Rik,1248,28071,29319
1700029P11Rik,1024,0,1024
1700030A11Rik,888,619,1507
1700030C10Rik,3206,9664,12870
1700030C12Rik,1169,740,1909
1700030C14Rik,756,692,1448
1700030E10Rik,721,8731,9452
1700030F04Rik,802,104275,105077
1700030J22Rik,2996,6370,9366
1700030K09Rik,2970,14152,17122
1700030L20Rik,985,13095,14080
1700030L22Rik,865,5630,6495
1700030N03Rik,5310,139352,144662
1700030N18Rik,966,0,966
1700030O20Rik,594,5517,6111
1700031A10Rik,656,8985,9641
1700031F05Rik,1444,7342,8786
1700031F10Rik,639,2438,3077
1700031M16Rik,1666,16184,17850
1700031P21Rik,568,1774,2342
1700034B16Rik,722,550,1272
1700034G24Rik,1081,5980,7061
1700034H15Rik,6099,15299,21398
1700034I23Rik,2348,0,2348
1700034J04Rik,750,0,750
1700034J05Rik,3007,1087,4094
1700034K08Rik,824,25002,25826
1700034P13Rik,3101,41176,44277
1700036A12Rik,1828,25329,27157
1700036G14Rik,542,13970,14512
1700037C18Rik,3227,10284,13511
1700037F03Rik,365,6646,7011
1700037H04Rik,2286,11472,13758
1700039E22Rik,770,6676,7446
1700039M10Rik,532,223,755
1700039M15Rik,1120,1658,2778
1700040D17Rik,998,2527,3525
1700040F17Rik,817,2089,2906
1700040K01Rik,438,0,438
1700040L08Rik,541,382,923
1700041B01Rik,503,4827,5330
1700041C23Rik,395,10439,10834
1700041G16Rik,1824,1948,3772
1700041I07Rik,435,10081,10516
1700041M05Rik,306,13150,13456
1700041M19Rik,2947,188368,191315
1700042D02Rik,389,3742,4131
1700042G07Rik,385,534,919
1700042G15Rik,664,2761,3425
1700042O10Rik,1075,16124,17199
1700045H11Rik,593,26132,26725
1700045I11Rik,493,0,493
1700046C09Rik,543,38328,38871
1700047A11Rik,821,13093,13914
1700047F07Rik,1050,68235,69285
1700047G03Rik,1493,4318,5811
1700047G07Rik,902,738,1640
1700047I17Rik2,3863,13714,17577
1700047K16Rik,886,566,1452
1700047L14Rik,511,4562,5073
1700047M11Rik,2846,12490,15336
1700047N06Rik,920,0,920
1700047O18Rik,743,0,743
1700048F04Rik,1064,22797,23861
1700048M11Rik,485,3268,3753
1700048O14Rik,521,7495,8016
1700048O20Rik,2099,7695,9794
1700048P04Rik,369,1329,1698
1700049E15Rik,1047,11087,12134
1700049E17Rik1,1761,6332,8093
1700049E17Rik2,1757,6338,8095
1700049E22Rik,507,5520,6027
1700051A21Rik,1800,355,2155
1700051O22Rik,638,0,638
1700052H01Rik,1025,38418,39443
1700052K11Rik,3708,0,3708
1700054A03Rik,4290,46579,50869
1700054K02Rik,376,0,376
1700054K19Rik,452,1360,1812
1700054M17Rik,445,2808,3253
1700054O19Rik,868,0,868
1700055D18Rik,3720,0,3720
1700056E22Rik,1272,0,1272
1700056N10Rik,1043,549,1592
1700057G04Rik,1974,46526,48500
1700057H15Rik,1252,70292,71544
1700057H21Rik,697,17105,17802
1700058P15Rik,413,835,1248
1700060C16Rik,645,57291,57936
1700060C20Rik,605,3137,3742
1700060J05Rik,1060,655,1715
1700060O08Rik,281,17064,17345
1700061A03Rik,455,0,455
1700061E17Rik,1067,537,1604
1700061E18Rik,588,425,1013
1700061G19Rik,2906,10522,13428
1700061I17Rik,1962,15282,17244
1700061J23Rik,537,13699,14236
1700061N14Rik,463,6035,6498
1700062C10Rik,1659,35845,37504
1700063A18Rik,356,30744,31100
1700063D05Rik,1529,24016,25545
1700063H04Rik,817,492,1309
1700063H06Rik,445,2748,3193
1700063I16Rik,611,0,611
1700063J08Rik,554,0,554
1700064H15Rik,394,17916,18310
1700064J06Rik,386,9817,10203
1700064M15Rik,645,1277,1922
1700065D16Rik,2905,0,2905
1700065I16Rik,997,3209,4206
1700065J11Rik,424,5556,5980
1700065J18Rik,393,687,1080
1700065L07Rik,614,33422,34036
1700065O20Rik,710,13923,14633
1700066B17Rik,1068,7092,8160
1700066B19Rik,2837,24808,27645
1700066C05Rik,407,764,1171
1700066J03Rik,850,1894,2744
1700066M21Rik,3235,4569,7804
1700066N21Rik,783,69990,70773
1700067G17Rik,603,5495,6098
1700067K01Rik,1957,1312,3269
1700067P10Rik,1437,163,1600
1700069B07Rik,939,0,939
1700069L16Rik,1520,30831,32351
1700071G01Rik,367,504,871
1700071M16Rik,2883,1220,4103
1700072G22Rik,548,452,1000
1700073E17Rik,1265,13319,14584
1700074A21Rik,346,0,346
1700074H08Rik,555,994,1549
1700074P13Rik,1844,18277,20121
1700080C20Rik,186,135,321
1700080G11Rik,436,828,1264
1700080N15Rik,1465,7614,9079
1700080O16Rik,1571,2507,4078
1700081B01Rik,769,28570,29339
1700081H04Rik,1128,5182,6310
1700081N11Rik,688,333,1021
1700082M22Rik,2210,14542,16752
1700083H02Rik,637,418,1055
1700084C06Rik,750,35889,36639
1700084D21Rik,444,7486,7930
1700084E18Rik,1429,0,1429
1700084F23Rik,2105,22194,24299
1700084J12Rik,1992,0,1992
1700084M14Rik,559,143,702
1700085C21Rik,1082,5554,6636
1700085D07Rik,318,14257,14575
1700086L19Rik,1075,10629,11704
1700086O06Rik,2027,10134,12161
1700086P04Rik,1009,6878,7887
1700087I21Rik,4145,20818,24963
1700087M22Rik,208,7116,7324
1700088E04Rik,5292,6613,11905
1700091H14Rik,1391,4137,5528
1700092C10Rik,585,6476,7061
1700092C17Rik,424,5866,6290
1700092E16Rik,753,0,753
1700092K14Rik,395,547,942
1700092M07Rik,508,0,508
1700093J21Rik,647,5748,6395
1700093K21Rik,2007,2946,4953
1700094J05Rik,1012,11481,12493
1700094M23Rik,981,19107,20088
1700094M24Rik,665,6971,7636
1700095A13Rik,4512,28071,32583
1700095A21Rik,1069,26766,27835
1700095B10Rik,1391,7019,8410
1700095J03Rik,1808,4468,6276
1700095J07Rik,1509,25666,27175
1700095J12Rik,737,187,924
1700095K22Rik,282,1446,1728
1700096J18Rik,482,6331,6813
1700096K18Rik,1454,0,1454
1700097M23Rik,1522,0,1522
1700099I09Rik,885,757,1642
1700100I10Rik,1405,4317,5722
1700100L14Rik,806,2064,2870
1700101I11Rik,1868,0,1868
1700101I19Rik,510,0,510
1700101O22Rik,339,7953,8292
1700102F20Rik,670,0,670
1700102H20Rik,562,1477,2039
1700102P08Rik,1236,16894,18130
1700104B16Rik,722,564,1286
1700104L18Rik,598,8108,8706
1700105G05Rik,411,1159,1570
1700105P06Rik,1025,0,1025
1700108F19Rik,3178,11029,14207
1700108J01Rik,484,3266,3750
1700108N06Rik,681,14312,14993
1700108N11Rik,917,264,1181
1700109G14Rik,1508,23659,25167
1700109G15Rik,384,3073,3457
1700109H08Rik,3062,9729,12791
1700109I08Rik,396,29235,29631
1700109K24Rik,1492,10425,11917
1700110C19Rik,717,3989,4706
1700110I01Rik,3697,39796,43493
1700110I07Rik,876,28351,29227
1700110K17Rik,1028,19111,20139
1700111E14Rik,908,47829,48737
1700111N16Rik,1133,213197,214330
1700112D23Rik,723,77719,78442
1700112H15Rik,778,29073,29851
1700112J05Rik,793,11622,12415
1700112J16Rik,2490,15965,18455
1700112K13Rik,701,835,1536
1700112M02Rik,348,124755,125103
1700113A16Rik,1095,5135,6230
1700113B09Rik,1078,22374,23452
1700113H08Rik,1550,170995,172545
1700119H24Rik,588,2888,3476
1700119I11Rik,405,208,613
1700120B22Rik,464,622,1086
1700120C14Rik,1952,10582,12534
1700120C18Rik,985,198,1183
1700120E14Rik,863,5122,5985
1700120G07Rik,931,3308,4239
1700120G11Rik,491,17464,17955
1700120O09Rik,977,10058,11035
1700121C08Rik,677,25215,25892
1700121L03Rik,704,6470,7174
1700121L16Rik,561,25119,25680
1700121N20Rik,1027,3987,5014
1700122C19Rik,6582,0,6582
1700122E12Rik,709,519,1228
1700122H20Rik,421,5358,5779
1700122O11Rik,771,778,1549
1700123J17Rik,1805,22187,23992
1700123K08Rik,1844,1029,2873
1700123L14Rik,1747,0,1747
1700123M08Rik,1260,26456,27716
1700123O12Rik,1534,316316,317850
1700123O20Rik,1935,2591,4526
1700124L16Rik,1110,0,1110
1700125G02Rik,519,3376,3895
1700125G22Rik,861,2133,2994
1700125H03Rik,785,6492,7277
1700125H20Rik,995,9747,10742
1700126A01Rik,2061,0,2061
1700126G02Rik,725,19327,20052
1700126H18Rik,405,24325,24730
1700127F24Rik,604,0,604
1700128A07Rik,960,68374,69334
1700128E19Rik,2439,6918,9357
1700128F08Rik,1625,18474,20099
1700128I11Rik,1166,872,2038
1700129C05Rik,1177,8677,9854
1810006J02Rik,1882,11318,13200
1810007C17Rik,710,3162,3872
1810007D17Rik,742,22683,23425
1810008B01Rik,829,547,1376
1810008I18Rik,2463,876,3339
1810009J06Rik,882,2800,3682
1810010H24Rik,1685,3078,4763
1810010K12Rik,2289,879,3168
1810012K08Rik,574,424,998
1810012K16Rik,547,329,876
1810013D15Rik,2121,11015,13136
1810013L24Rik,4960,23863,28823
1810014B01Rik,2652,6630,9282
1810014P07Rik,2082,0,2082
1810018F18Rik,2773,14081,16854
1810019D21Rik,1551,1575,3126
1810019N24Rik,1555,11622,13177
1810020O05Rik,3681,43531,47212
1810021B22Rik,896,3761,4657
1810024B03Rik,3550,18376,21926
1810028F09Rik,1248,0,1248
1810030O07Rik,2699,16091,18790
1810034E14Rik,2245,20908,23153
1810035K13Rik,348,309,657
1810037I17Rik,1160,822,1982
1810041H14Rik,851,1834,2685
1810044D09Rik,486,283,769
1810044K17Rik,536,255,791
1810046K07Rik,1497,37742,39239
1810049I09Rik,616,0,616
1810053B23Rik,5199,18966,24165
1810055G02Rik,2351,7238,9589
1810058I24Rik,2784,8059,10843
1810058N15Rik,712,706,1418
1810059C17Rik,487,1934,2421
1810062G17Rik,911,5452,6363
1810062O18Rik,1816,22793,24609
1810063I02Rik,274,117,391
1810064F22Rik,2753,14145,16898
1810065E05Rik,926,3988,4914
1810073O08Rik,1853,1817,3670
2010001A14Rik,714,5205,5919
2010001K21Rik,3630,27658,31288
2010003K11Rik,1167,629,1796
2010007H06Rik,4934,764,5698
2010008C14Rik,593,0,593
2010009K17Rik,567,20864,21431
2010010A06Rik,1223,7452,8675
2010013B24Rik,747,5053,5800
2010016I18Rik,3697,235,3932
2010103J01Rik,388,1229,1617
2010106C02Rik,660,1355,2015
2010106E10Rik,1287,61783,63070
2010106G04Rik,311,0,311
2010109A12Rik,1275,5683,6958
2010109P13Rik,392,0,392
2010110E17Rik,879,0,879
2010110G14Rik,527,98356,98883
2010110K18Rik,2852,4025,6877
2010204K13Rik,1583,31744,33327
2010300C02Rik,5075,103334,108409
2010308F09Rik,704,12392,13096
2010309G21Rik,458,54925,55383
2010310C07Rik,2398,8147,10545
2010315B03Rik,3914,16979,20893
2010320M18Rik,1009,0,1009
2010320O07Rik,603,18771,19374
2200002A13Rik,709,0,709
2200002D01Rik,1564,342,1906
2200002J24Rik,616,995,1611
2210009P08Rik,465,0,465
2210010C04Rik,2142,3100,5242
2210011C24Rik,1413,537,1950
2210011K15Rik,1741,3044,4785
2210016F16Rik,3051,2358,5409
2210016L21Rik,3303,4323,7626
2210017I01Rik,822,1953,2775
2210020O09Rik,509,1043,1552
2210039B01Rik,1044,2465,3509
2210404E10Rik,585,181,766
2210406H18Rik,1108,0,1108
2210406O10Rik,2472,14771,17243
2210407C18Rik,1399,6473,7872
2210408F21Rik,2406,114648,117054
2210408I21Rik,5948,472297,478245
2210411M09Rik,643,5443,6086
2210414B05Rik,872,5729,6601
2210414F02Rik,396,125,521
2210417A02Rik,550,750,1300
2210418O10Rik,3936,9824,13760
2210420H20Rik,629,3908,4537
2300002M23Rik,1503,0,1503
2300003K06Rik,1265,0,1265
2300009A05Rik,2000,2800,4800
2310001H17Rik,7241,23073,30314
2310001K24Rik,740,309,1049
2310002D06Rik,508,10241,10749
2310002F09Rik,4492,98258,102750
2310002L09Rik,2158,9318,11476
2310005A03Rik,1398,895,2293
2310005E17Rik,1187,9770,10957
2310008N11Rik,1805,67983,69788
2310009A05Rik,2999,63,3062
2310009B15Rik,1750,3120,4870
2310010J17Rik,603,4560,5163
2310011J03Rik,1649,635,2284
2310014F06Rik,2810,64712,67522
2310015A10Rik,2330,9969,12299
2310015D24Rik,3035,3942,6977
2310015K22Rik,1461,2288,3749
2310016D23Rik,388,24560,24948
2310016G11Rik,1558,8445,10003
2310020H05Rik,720,10676,11396
2310022A10Rik,4780,24087,28867
2310022B05Rik,3307,24307,27614
2310026I22Rik,1307,22097,23404
2310026L22Rik,400,76,476
2310030A07Rik,610,25481,26091
2310030G06Rik,1979,4867,6846
2310033P09Rik,1285,1133,2418
2310034G01Rik,1373,729,2102
2310034O05Rik,1127,6231,7358
2310039H08Rik,762,0,762
2310039L15Rik,4487,25440,29927
2310040G07Rik,698,18689,19387
2310040G24Rik,775,4077,4852
2310043L19Rik,698,704,1402
2310043M15Rik,1580,1186,2766
2310043O21Rik,622,44970,45592
2310044K18Rik,618,771,1389
2310047D07Rik,823,5830,6653
2310050C09Rik,1078,780,1858
2310057J18Rik,1858,12158,14016
2310057N15Rik,1028,0,1028
2310058D17Rik,3201,9102,12303
2310061I04Rik,2414,2341,4755
2310061N02Rik,794,0,794
2310065F04Rik,2916,4704,7620
2310067P03Rik,1032,127859,128891
2310068J16Rik,1130,0,1130
2310069B03Rik,1902,2088,3990
2310074N15Rik,582,0,582
2310075C17Rik,326,338,664
2310081O03Rik,759,3146,3905
2400006E01Rik,874,6354,7228
2410002F23Rik,5233,365,5598
2410003I16Rik,452,344,796
2410003L11Rik,1144,23239,24383
2410004B18Rik,2029,4787,6816
2410004I01Rik,1187,4901,6088
2410004P03Rik,3537,4872,8409
2410006H16Rik,462,1469,1931
2410012E07Rik,1357,19665,21022
2410017I17Rik,2518,15641,18159
2410018L13Rik,4122,52166,56288
2410021H03Rik,764,1083,1847
2410022M11Rik,1911,0,1911
2410024N13Rik,669,81,750
2410080I02Rik,414,404,818
2410124H12Rik,706,17919,18625
2410131K14Rik,5649,15218,20867
2410137M14Rik,881,2656,3537
2410141K09Rik,3325,19680,23005
2500002B13Rik,2712,18112,20824
2500004C02Rik,2147,2770,4917
2510002D24Rik,1486,2097,3583
2510009E07Rik,6564,39057,45621
2510017J16Rik,1263,0,1263
2510039O18Rik,2731,3689,6420
2510046G10Rik,1052,0,1052
2600006K01Rik,1406,189,1595
2600014E21Rik,7972,171006,178978
2610001J05Rik,3784,0,3784
2610002M06Rik,6337,27247,33584
2610005L07Rik,4163,34870,39033
2610008E11Rik,5940,27287,33227
2610016A17Rik,1097,23,1120
2610017A05Rik,1661,0,1661
2610020C07Rik,3577,39259,42836
2610021A01Rik,4857,24447,29304
2610027F03Rik,1133,67531,68664
2610027K06Rik,2574,37989,40563
2610028E06Rik,4441,30126,34567
2610028H24Rik,1705,10325,12030
2610035D17Rik,2121,155823,157944
2610035F20Rik,2352,2564,4916
2610037D02Rik,5020,144657,149677
2610042L04Rik,1886,18040,19926
2610044O15Rik8,3859,14194,18053
2610203C22Rik,4910,65434,70344
2610204G07Rik,992,9072,10064
2610206C17Rik,1917,87497,89414
2610300A13Rik,503,0,503
2610300M13Rik,2077,11713,13790
2610301B20Rik,2391,22537,24928
2610303G11Rik,517,110,627
2610306M01Rik,1042,0,1042
2610307P16Rik,3293,422294,425587
2610316D01Rik,1209,96615,97824
2610318N02Rik,2277,9493,11770
2610507B11Rik,8798,20074,28872
2610507I01Rik,1360,1190,2550
2610528A11Rik,828,11055,11883
2610528J11Rik,1202,2028,3230
2700033N17Rik,721,506,1227
2700038G22Rik,1594,2848,4442
2700046A07Rik,2469,2205,4674
2700046G09Rik,1647,328,1975
2700049A03Rik,5879,100577,106456
2700054A10Rik,5232,181107,186339
2700062C07Rik,1350,5599,6949
2700068H02Rik,1872,1357,3229
2700069I18Rik,1138,42118,43256
2700080J24Rik,1662,0,1662
2700081O15Rik,7032,1248,8280
2700089I24Rik,1827,64429,66256
2700097O09Rik,5021,29429,34450
2700099C18Rik,2190,22843,25033
2810001G20Rik,1057,2719,3776
2810002D19Rik,2040,3492,5532
2810004N23Rik,6324,19852,26176
2810006K23Rik,2873,10883,13756
2810021J22Rik,3928,12145,16073
2810025M15Rik,1410,6475,7885
2810029C07Rik,1954,132,2086
2810030D12Rik,1422,5573,6995
2810032G03Rik,3173,37589,40762
2810039B14Rik,6418,5097,11515
2810047C21Rik1,1179,5537,6716
2810049E08Rik,1102,36401,37503
2810402E24Rik,3040,0,3040
2810403D21Rik,8345,132762,141107
2810403G07Rik,1622,806,2428
2810404M03Rik,1245,217691,218936
2810405F15Rik,932,0,932
2810405F17Rik,1117,0,1117
2810407A14Rik,3771,51448,55219
2810408A11Rik,2368,1268,3636
2810408I11Rik,2341,8448,10789
2810410L24Rik,3028,1425,4453
2810414N06Rik,1381,4689,6070
2810428J06Rik,2696,0,2696
2810429I04Rik,8789,14375,23164
2810430I11Rik,3416,712,4128
2810432F15Rik,657,8993,9650
2810433D01Rik,1205,3416,4621
2810454H06Rik,3148,0,3148
2810455O05Rik,1691,542,2233
2810457G06Rik,1367,0,1367
2810459M11Rik,3331,6263,9594
2810468N07Rik,2124,2562,4686
2810471M01Rik,1597,10116,11713
2900005J15Rik,2928,6199,9127
2900009J06Rik,503,19974,20477
2900026A02Rik,10814,124100,134914
2900040C04Rik,459,412,871
2900041M22Rik,1784,827,2611
2900042G08Rik,650,0,650
2900045O20Rik,1292,11762,13054
2900052L18Rik,1588,196,1784
2900052N01Rik,3235,10639,13874
2900057B20Rik,1016,5899,6915
2900060B14Rik,616,0,616
2900060N12Rik,4081,30458,34539
2900064F13Rik,1008,0,1008
2900076A07Rik,1993,5956,7949
2900076G11Rik,631,0,631
2900079G21Rik,6718,107931,114649
2900089D17Rik,2583,11914,14497
2900092C05Rik,887,42920,43807
2900092O11Rik,755,0,755
2900093K20Rik,567,0,567
2900097C17Rik,4915,0,4915
3000002C10Rik,3981,783,4764
3010001F23Rik,1816,46310,48126
3010003L21Rik,1747,516,2263
3100003L05Rik,664,82602,83266
3110004A20Rik,385,575,960
