Number	Cell	Slice	Date	Sample	Mouse	Mouse date of birth	Mouse age	Mouse gender	Mouse genotype	Targeted layer	Inferred layer	Cre	Exon reads	Intron reads	Intergenic reads	Sequencing batch	Number of genes detected	RNA class	RNA type	RNA type confidence	RNA type top-3	ALM/VISp top-3	Length (bp)	Yield (pg/µl)	User	Hold Time (min)	Soma depth (µm)	Soma depth (4x)	Cortical thickness (4x)	Cortical thickness (µm)	Traced	Exclusion reasons	Pipette Resistance (MΩ)	Access Resistance (MΩ)	Seal Resistance (MΩ)	Recording Temperature (˚C)
11	20200403_sample_11	20200403_slice_3	2020-04-03	sample 11	mouse_KIYRP	2020-01-31	63	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2554999	56259	66262	12	9418	Sst	Sst Crhr2_2	0.97	Sst Crhr2_2 (96.7%)	Sst Esm1 (100.0%)	2133	243.77	Fede, Ray	8	1199	0	0	1782			3.7	28.2	241.5	33-34
12	20200403_sample_12	20200403_slice_4	2020-04-03	sample 12	mouse_KIYRP	2020-01-31	63	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1718666	571554	88615	12	9468	Sst	Sst Calb2	0.78	Sst Calb2 (78.4%), Sst Hpse (21.6%)	Sst Calb2 Pdlim5 (79.0%), Sst Hpse Cbln4 (21.0%)	1994	293.14	Fede, Ray	10	604	0	0	1780			3.9	14.3	218.1	33-34
13	20200403_sample_13	20200403_slice_4	2020-04-03	sample 13	mouse_KIYRP	2020-01-31	63	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	516562	13312	15430	12	7916	Sst	Sst Hpse	0.79	Sst Hpse (79.1%), Sst Htr1a (13.4%), Sst Chodl (2.6%)	Sst Hpse Cbln4 (100.0%)	2015	168.95	Fede, Ray	8	687	0	0	1780			3.9	25.5	196.7	33-34
14	20200403_sample_14	20200403_slice_4	2020-04-03	sample 14	mouse_KIYRP	2020-01-31	63	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1171655	21771	36615	12	4938	Sst	Sst Htr1a	0.82	Sst Htr1a (81.7%), Sst Myh8_1 (6.9%), Sst Myh8_2 (5.3%)	Sst Hpse Sema3c (100.0%)	1983	63.71	Fede, Ray	7	822	0	0	1780			3.9	20.3	121.4	33-34
15	20200403_sample_16	20200403_slice_4	2020-04-03	sample 16	mouse_KIYRP	2020-01-31	63	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2690997	730172	120935	12	10593	Sst	Sst Htr1a	0.97	Sst Htr1a (97.3%)	Sst Hpse Sema3c (86.0%), Sst Tac2 Myh4 (9.0%)	2158	224.08	Fede, Ray	6	933	0	0	1780			3.72	23.8	130	33-34
16	20200406_sample_1	20200406_slice_1	2020-04-06	sample 1	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2850107	898507	121460	12	12307	Sst	Sst Hpse	0.99	Sst Hpse (99.3%)	Sst Hpse Cbln4 (100.0%)	2160	789.82	Fede, Ray	6	520	0	0	1685			3.59	24.1	137.2	33-34
17	20200406_sample_2	20200406_slice_1	2020-04-06	sample 2	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1420400	1876035	162951	12	11827	Sst	Sst Pvalb Calb2	0.84	Sst Pvalb Calb2 (84.1%), Sst Hpse (14.7%)	Sst Mme Fam114a1 (96.0%)	2496	242.9	Fede, Ray	6	515	0	0	1685			3.49	26.4	267.8	33-34
18	20200406_sample_3	20200406_slice_1	2020-04-06	sample 3	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2732490	705351	119676	12	11796	Sst	Sst Myh8_1	0.97	Sst Myh8_1 (97.0%)	Sst Chrna2 Glra3 (99.0%)	2121	406.66	Fede, Ray	7	791	0	0	1685			3.25	26.9	260.2	33-34
19	20200406_sample_4	20200406_slice_2	2020-04-06	sample 4	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	3463207	939740	170887	12	14322	IT	L5 IT_1	1.00	L5 IT_1 (99.9%)	L5 IT ALM Cpa6 Gpr88 (99.0%)	2209	1029.22	Fede, Ray	9	650	0	0	1626			3.2	13.5	50.13	33-34
20	20200406_sample_5	20200406_slice_2	2020-04-06	sample 5	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2590504	549993	111048	12	11823	Sst	Sst Hpse	0.96	Sst Hpse (95.9%)	Sst Hpse Cbln4 (100.0%)	2090	445.27	Fede, Ray	7	635	0	0	1626			2.49	25.5	278.5	33-34
21	20200406_sample_6	20200406_slice_2	2020-04-06	sample 6	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2114512	1014404	133822	12	12287	Pvalb	Pvalb Calb1_2	0.86	Pvalb Calb1_2 (86.4%), Pvalb Calb1_1 (13.1%)	Pvalb Sema3e Kank4 (95.0%)	1784	416.07	Fede, Ray	7	904	0	0	1626			3.03	18.1	109.1	33-34
22	20200406_sample_7	20200406_slice_2	2020-04-06	sample 7	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1582398	1146628	126634	12	11163	Sst	Sst Pvalb Calb2	1.00	Sst Pvalb Calb2 (99.6%)	Sst Mme Fam114a1 (98.0%)	2227	223.89	Fede, Ray	7	601	0	0	1626			2.96	21.9	126.1	33-34
23	20200406_sample_10	20200406_slice_3	2020-04-06	sample 10	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	805151	1138214	120114	12	8581	Sst	Sst C1ql3_2	0.90	Sst C1ql3_2 (90.4%), Sst Tac2 (4.4%), Sst C1ql3_1 (3.3%)	Sst Tac2 Tacstd2 (72.0%), Sst Rxfp1 Prdm8 (26.0%)	2122	165.93	Fede, Ray	6	1240	0	0	1835			3	16	122.1	33-34
24	20200406_sample_11	20200406_slice_3	2020-04-06	sample 11	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2201834	720682	122005	12	12135	Pvalb	Pvalb Egfem1	0.83	Pvalb Egfem1 (82.9%), Pvalb Kank4 (10.7%), Sst Th_2 (3.6%)	Pvalb Th Sst (99.0%)	2064	361.43	Fede, Ray	6	1139	0	0	1835			2.94	22.9	149.5	33-34
25	20200406_sample_12	20200406_slice_4	2020-04-06	sample 12	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	3	0	1	12	3	low quality					1669	177.09	Fede, Ray	6	1026	0	0	1637			2.95	22	146.9	33-34
26	20200406_sample_13	20200406_slice_4	2020-04-06	sample 13	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	8	0	1	12	8	low quality					2264	376.06	Fede, Ray	8	1110	0	0	1637			2.9	27.4	161.8	33-34
27	20200406_sample_15	20200406_slice_4	2020-04-06	sample 15	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	479735	531624	60188	12	6114	Sst	Sst Myh8_1	0.96	Sst Myh8_1 (95.9%)	Sst Chrna2 Glra3 (95.0%)	1799	82.49	Fede, Ray	7	1006	0	0	1637			3.56	20.9	258.8	33-34
28	20200406_sample_16	20200406_slice_4	2020-04-06	sample 16	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2141408	687063	111826	12	12683	Sst	Sst Etv1	0.81	Sst Etv1 (80.9%), Sst Myh8_1 (18.6%)	Sst Nr2f2 Necab1 (58.0%), Sst Myh8 Etv1  (42.0%)	2230	491.28	Fede, Ray	10	741	0	0	1637			3.09	17.9	218.9	33-34
29	20200406_sample_17	20200406_slice_4	2020-04-06	sample 17	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1694837	355499	73605	12	10645	Sst	Sst Crhr2_1	0.61	Sst Crhr2_1 (60.9%), Sst C1ql3_1 (23.4%), Sst Crhr2_2 (14.0%)	Sst Rxfp1 Eya1 (80.0%), Sst Crh 4930553C11Rik  (20.0%)	2351	250.74	Fede, Ray	11	1057	0	0	1637			3.52	26.9	170.6	33-34
30	20200406_sample_19	20200406_slice_4	2020-04-06	sample 19	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2488819	785455	135194	12	11597	Sst	Sst C1ql3_1	0.67	Sst C1ql3_1 (67.3%), Sst C1ql3_2 (23.4%), Sst Crhr2_1 (7.4%)	Sst Rxfp1 Eya1 (100.0%)	2199	368.54	Fede, Ray	8	1072	0	0	1637			3	21.7	195.1	33-34
31	20200406_sample_20	20200406_slice_4	2020-04-06	sample 20	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	790236	1046160	117739	12	8788	Sst	Sst Hpse	0.72	Sst Hpse (72.1%), Sst Crhr2_1 (21.6%), Sst Htr1a (3.9%)	Sst Hpse Cbln4 (80.0%), Sst Crhr2 Efemp1 (15.0%)	2066	164.9	Fede, Ray	8	874	0	0	1637			3.56	21.6	162.8	33-34
32	20200406_sample_21	20200406_slice_4	2020-04-06	sample 21	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1382114	960800	110127	12	8936	Sst	Sst Htr1a	0.94	Sst Htr1a (93.6%), Sst Myh8_2 (3.3%)	Sst Hpse Sema3c (86.0%), Sst Chrna2 Ptgdr (14.0%)	2204	196.76	Fede, Ray	8	659	0	0	1637			3.5	29.1	153.7	33-34
33	20200406_sample_22	20200406_slice_4	2020-04-06	sample 22	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	3217820	573462	140702	12	12177	Sst	Sst Pvalb Etv1	0.49	Sst Pvalb Etv1 (49.3%), Sst Etv1 (35.6%), Sst Myh8_1 (9.7%)	Sst Nr2f2 Necab1 (100.0%)	2187	436.71	Fede, Ray	8	743	0	0	1637			3.5	27.6	324.5	33-34
34	20200406_sample_23	20200406_slice_4	2020-04-06	sample 23	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	994723	1321729	116930	12	9084	Sst	Sst Crhr2_1	0.97	Sst Crhr2_1 (97.1%)	Sst Crhr2 Efemp1 (92.0%), Sst Crh 4930553C11Rik  (8.0%)	2386	372.34	Fede, Ray	7	1021	0	0	1637			3	14.5	102.5	33-34
35	20200406_sample_24	20200406_slice_4	2020-04-06	sample 24	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2029241	798578	112064	12	11134	Sst	Sst Calb2	0.57	Sst Calb2 (56.6%), Sst Hpse (42.7%)	Sst Hpse Cbln4 (53.0%), Sst Calb2 Pdlim5 (47.0%)	2342	319.58	Fede, Ray	10	698	0	0	1637			3.84	24	223	33-34
36	20200406_sample_25	20200406_slice_5	2020-04-06	sample 25	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1079629	1197983	115401	12	8845	Sst	Sst C1ql3_1	0.53	Sst C1ql3_1 (52.7%), Sst C1ql3_2 (42.0%), Sst Tac2 (4.6%)	Sst Rxfp1 Prdm8 (84.0%), Sst Rxfp1 Eya1 (9.0%), Sst Tac2 Tacstd2 (7.0%)	2341	172.2	Fede, Ray	9	684	0	0	1637			2.81	21.6	166.5	33-34
37	20200406_sample_27	20200406_slice_5	2020-04-06	sample 27	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2061642	1303932	190923	12	11976	Pvalb	Pvalb Kank4	0.69	Pvalb Kank4 (68.7%), Pvalb Egfem1 (27.3%)	Pvalb Akr1c18 Ntf3 (95.0%)	2241	307.69	Fede, Ray	10	1112	0	0	1646			2.99	25.4	112.7	33-34
38	20200406_sample_28	20200406_slice_6	2020-04-06	sample 28	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2638383	1084867	158928	12	10604	Sst	Sst Pvalb Calb2	0.98	Sst Pvalb Calb2 (98.4%)	Sst Mme Fam114a1 (51.0%), Sst Tac1 Htr1d (49.0%)	2340	205.85	Fede, Ray	10	500	0	0	1646			3.92	17.9	112.9	33-34
39	20200406_sample_29	20200406_slice_6	2020-04-06	sample 29	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2757010	569150	114923	12	11534	Sst	Sst Calb2	0.86	Sst Calb2 (86.1%), Sst Hpse (13.9%)	Sst Calb2 Pdlim5 (71.0%), Sst Hpse Cbln4 (29.0%)	2080	418.54	Fede, Ray	10	509	0	0	1741			3	12.3	115.3	33-34
40	20200406_sample_30	20200406_slice_6	2020-04-06	sample 30	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2116170	710131	127569	12	10533	Sst	Sst Myh8_1	0.53	Sst Myh8_1 (53.0%), Sst Etv1 (45.9%)	Sst Myh8 Etv1  (96.0%)	1819	338.1	Fede, Ray	10	834	0	0	1741			4	25.1	243.2	33-34
41	20200406_sample_31	20200406_slice_6	2020-04-06	sample 31	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	2/3	SST+	2721463	414225	96508	12	10991	Sst	Sst Calb2	0.83	Sst Calb2 (83.3%), Sst Hpse (15.3%)	Sst Hpse Cbln4 (55.0%), Sst Calb2 Pdlim5 (45.0%)	2460	465.62	Fede, Ray	10	500	0	0	1741			4.5	18.6	117	33-34
42	20200406_sample_32	20200406_slice_6	2020-04-06	sample 32	mouse_WPOGH	2020-01-31	66	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1713108	929684	114951	12	9776	Sst	Sst Crhr2_2	0.97	Sst Crhr2_2 (96.9%)	Sst Esm1 (98.0%)	2469	293.89	Fede, Ray	9	1121	0	0	1741			3.5	24.8	132	33-34
43	20200407_sample_1	20200407_slice_1	2020-04-07	sample 1	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1770697	524367	87788	12	10473	Sst	Sst C1ql3_1	0.97	Sst C1ql3_1 (97.1%)	Sst Rxfp1 Eya1 (100.0%)	2272	275.53	Fede, Ray	6	1072	0	0	1681			3.94	23.5	176	33-34
44	20200407_sample_2	20200407_slice_1	2020-04-07	sample 2	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1358010	176589	51084	12	10143	Sst	Sst Crhr2_2	0.65	Sst Crhr2_2 (64.9%), Sst Myh8_3 (19.1%), Sst Myh8_1 (9.4%)	Sst Tac2 Myh4 (95.0%)	2163	254.85	Fede, Ray	6	1038	0	0	1681			3.95	15.6	148.8	33-34
45	20200407_sample_3	20200407_slice_1	2020-04-07	sample 3	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	921213	924038	93836	12	8295	Sst	Sst C1ql3_1	0.72	Sst C1ql3_1 (71.7%), Sst C1ql3_2 (24.0%)	Sst Rxfp1 Prdm8 (98.0%)	1918	184.13	Fede, Ray	6	1010	0	0	1681			2.96	16.6	110.1	33-34
46	20200407_sample_4	20200407_slice_1	2020-04-07	sample 4	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	193290	109255	24252	12	7896	Sst	Sst Myh8_1	0.91	Sst Myh8_1 (91.0%), Sst Crhr2_2 (7.7%)	Sst Chrna2 Glra3 (99.0%)	1718	173.05	Fede, Ray	7	1015	0	0	1681			2.98	15	205	33-34
47	20200407_sample_5	20200407_slice_1	2020-04-07	sample 5	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	761334	105304	33383	12	10422	Sst	Sst Th_3	0.43	Sst Th_3 (43.4%), Sst C1ql3_1 (31.9%), Sst Th_2 (18.7%)	Sst Rxfp1 Prdm8 (76.0%), Sst Rxfp1 Eya1 (21.0%)	2084	403.95	Fede, Ray	7	990	0	0	1681			2.98	14.71	143.3	33-34
48	20200407_sample_6	20200407_slice_1	2020-04-07	sample 6	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	573077	63029	20412	12	9329	Sst	Sst Hpse	0.95	Sst Hpse (95.4%)	Sst Hpse Cbln4 (100.0%)	2119	358.36	Fede, Ray	10	585	0	0	1681			2.99	22	110.1	33-34
49	20200407_sample_7	20200407_slice_1	2020-04-07	sample 7	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1699499	554245	85362	12	10992	Sst	Sst Pvalb Calb2	1.00	Sst Pvalb Calb2 (99.6%)	Sst Mme Fam114a1 (93.0%), Sst Tac1 Htr1d (7.0%)	2102	394.24	Fede, Ray	6	651	0	0	1681			3.46	14.5	147.7	33-34
50	20200407_sample_8	20200407_slice_1	2020-04-07	sample 8	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2072917	304466	80598	12	11598	Sst	Sst C1ql3_1	0.77	Sst C1ql3_1 (77.1%), Sst Th_2 (9.6%), Sst Th_1 (9.0%)	Sst Rxfp1 Prdm8 (100.0%)	2104	444.07	Fede, Ray	6	1002	0	0	1681			3.59	21.3	144.9	33-34
51	20200407_sample_9	20200407_slice_1	2020-04-07	sample 9	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2183057	461142	85447	12	11472	Sst	Sst Crhr2_2	1.00	Sst Crhr2_2 (99.6%)	Sst Esm1 (100.0%)	2120	419.98	Fede, Ray	7	830	0	0	1681			3.42	18.9	139.8	33-34
52	20200407_sample_10	20200407_slice_1	2020-04-07	sample 10	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1651433	264069	58676	12	10831	Sst	Sst Hpse	0.94	Sst Hpse (94.3%), Sst Crhr2_1 (2.7%)	Sst Hpse Cbln4 (100.0%)	2298	349.16	Fede, Ray	7	665	0	0	1681			3.59	17.9	102.1	33-34
53	20200407_sample_11	20200407_slice_4	2020-04-07	sample 11	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1500265	614312	96709	12	11351	Sst	Sst C1ql3_2	0.63	Sst C1ql3_2 (62.6%), Sst C1ql3_1 (33.0%)	Sst Rxfp1 Eya1 (100.0%)	2309	357.6	Fede, Ray	8	1051	0	0	1907			3.89	7.79	151.3	33-34
54	20200407_sample_12	20200407_slice_4	2020-04-07	sample 12	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1683078	390444	71553	12	11443	Pvalb	Pvalb Calb1_2	0.96	Pvalb Calb1_2 (95.6%)	Pvalb Reln Tac1 (58.0%), Pvalb Sema3e Kank4 (15.0%), Pvalb Tpbg (13.0%)	2113	421.19	Fede, Ray	8	589	0	0	1907			3.89	16.6	153	33-34
55	20200407_sample_13	20200407_slice_5	2020-04-07	sample 13	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	859920	765633	99928	12	6996	Sst	Sst Myh8_3	0.89	Sst Myh8_3 (89.0%), Sst C1ql3_2 (2.7%), Sst Crhr2_2 (2.7%)	Sst Tac2 Tacstd2 (55.0%), Sst Tac2 Myh4 (45.0%)	1983	79.82	Fede, Ray	8	888	0	0	1788			3.9	17.7	141.4	33-34
56	20200407_sample_14	20200407_slice_5	2020-04-07	sample 14	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1262536	440273	72782	12	9612	Sst	Sst C1ql3_1	0.46	Sst C1ql3_1 (45.7%), Sst Th_2 (41.6%), Pvalb Egfem1 (9.4%)	Sst Rxfp1 Prdm8 (41.0%), Sst Rxfp1 Eya1 (34.0%), Pvalb Th Sst (25.0%)	2161	233.01	Fede, Ray	8	1088	0	0	1788			3.99	13.5	118.9	33-34
57	20200407_sample_15	20200407_slice_5	2020-04-07	sample 15	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2082240	345805	78080	12	10405	Sst	Sst Penk	0.96	Sst Penk (96.4%)	Sst Myh8 Fibin (100.0%)	2114	273	Fede, Ray	8	1091	0	0	1788			3.98	24.4	185.8	33-34
58	20200407_sample_16	20200407_slice_5	2020-04-07	sample 16	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	527355	294400	45385	12	8058	Sst	Sst Crhr2_1	0.78	Sst Crhr2_1 (78.4%), Sst Crhr2_2 (20.4%)	Sst Crh 4930553C11Rik  (100.0%)	2109	135.27	Fede, Ray	8	1143	0	0	1788			3.92	23.4	158.7	33-34
59	20200407_sample_18	20200407_slice_5	2020-04-07	sample 18	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2515012	384357	93949	12	11016	Sst	Sst C1ql3_2	0.83	Sst C1ql3_2 (82.6%), Sst C1ql3_1 (12.1%), Sst Crhr2_1 (3.9%)	Sst Rxfp1 Eya1 (100.0%)	2091	290.91	Fede, Ray	10	1002	0	0	1788			3.78	18.8	143.6	33-34
60	20200407_sample_19	20200407_slice_5	2020-04-07	sample 19	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1561998	419654	79634	12	8905	Pvalb	Pvalb Calb1_2	0.85	Pvalb Calb1_2 (85.4%), Pvalb Calb1_1 (8.9%), Pvalb Gpr149 (4.6%)	Pvalb Reln Tac1 (52.0%), Pvalb Calb1 Sst (33.0%), Pvalb Gpr149 Islr (15.0%)	2108	142.29	Fede, Ray	8	1001	0	0	1788			3.79	23.2	176.6	33-34
61	20200407_sample_20	20200407_slice_5	2020-04-07	sample 20	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	8490	1275	268	12	3652	Sst	Sst Myh8_1	0.62	Sst Myh8_1 (62.0%), Sst Crhr2_2 (22.0%), Sst Myh8_2 (9.9%)	Sst Chrna2 Glra3 (97.0%)	2197	314.96	Fede, Ray	6	788	0	0	1788			3.92	19.6	193.3	33-34
